DATE,Sum - CASES,Cases cumul
2020-03-01,16,16
2020-03-02,17,33
2020-03-03,36,69
2020-03-04,56,125
2020-03-05,81,206
2020-03-06,107,313
2020-03-07,27,340
2020-03-08,64,404
2020-03-09,94,498
2020-03-10,99,597
2020-03-11,170,767
2020-03-12,247,1014
2020-03-13,338,1352
2020-03-14,177,1529
2020-03-15,215,1744
2020-03-16,388,2132
2020-03-17,418,2550
2020-03-18,536,3086
2020-03-19,716,3802
2020-03-20,663,4465
2020-03-21,470,4935
2020-03-22,489,5424
2020-03-23,1330,6754
2020-03-24,1194,7948
2020-03-25,1199,9147
2020-03-26,1361,10508
2020-03-27,1519,12027
2020-03-28,845,12872
2020-03-29,683,13555
2020-03-30,1740,15295
2020-03-31,1680,16975
2020-04-01,1507,18482
2020-04-02,1445,19927
2020-04-03,1689,21616
2020-04-04,917,22533
2020-04-05,635,23168
2020-04-06,1870,25038
2020-04-07,1430,26468
2020-04-08,1393,27861
2020-04-09,1368,29229
2020-04-10,1051,30280
